epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,264.758,0.76222,0.48847,0.97717,0.69695,0.57615,0.69972,0.43969,1.11321,0.69282,1.1097,0.00152672,0.00152672,0.00152672
87,267.671,0.81562,0.50442,0.97523,0.80218,0.59916,0.73307,0.45535,1.12043,0.63143,1.12661,0.00152507,0.00152507,0.00152507
88,270.691,0.78103,0.46301,0.96505,0.70958,0.61228,0.69731,0.43622,1.13749,0.68089,1.13198,0.00152342,0.00152342,0.00152342
89,273.591,0.76679,0.45631,0.95144,0.72427,0.60251,0.70611,0.45006,1.08533,0.62591,1.06699,0.00152177,0.00152177,0.00152177
90,276.531,0.80673,0.47932,0.9615,0.69934,0.59482,0.68799,0.43574,1.05847,0.65796,1.06182,0.00152012,0.00152012,0.00152012
91,279.488,0.81465,0.49468,0.97256,0.74076,0.58502,0.68523,0.43912,1.06599,0.58547,1.04631,0.00151847,0.00151847,0.00151847
92,282.394,0.80172,0.46955,0.97237,0.66781,0.61638,0.66587,0.41985,1.10007,0.69225,1.0792,0.00151682,0.00151682,0.00151682
93,285.291,0.73469,0.44248,0.97398,0.78589,0.62055,0.71085,0.43367,1.15232,0.63581,1.16435,0.00151517,0.00151517,0.00151517
94,288.26,0.76035,0.44467,0.94955,0.76472,0.6851,0.74025,0.47436,1.00217,0.56283,1.0146,0.00151352,0.00151352,0.00151352
95,291.245,0.82116,0.49143,0.9471,0.75709,0.5979,0.7143,0.45171,0.9978,0.61868,1.01144,0.00151187,0.00151187,0.00151187
96,294.322,0.74216,0.44263,0.95838,0.79075,0.59674,0.72257,0.46504,0.99884,0.56105,1.02774,0.00151022,0.00151022,0.00151022
97,297.258,0.77752,0.46493,0.95566,0.75763,0.63843,0.73232,0.46021,1.04539,0.55158,1.05835,0.00150857,0.00150857,0.00150857
98,300.247,0.77129,0.45217,0.95006,0.85022,0.60644,0.73377,0.46308,1.03533,0.5393,1.02655,0.00150692,0.00150692,0.00150692
99,303.324,0.79823,0.46845,0.95705,0.6596,0.63753,0.70463,0.43853,1.08607,0.62979,1.0722,0.00150527,0.00150527,0.00150527
100,306.334,0.78345,0.44389,0.94879,0.81431,0.58159,0.70723,0.45013,1.07712,0.5647,1.03676,0.00150362,0.00150362,0.00150362
101,309.179,0.77202,0.44717,0.95603,0.71447,0.56734,0.68975,0.44552,1.01392,0.58628,1.02228,0.00150197,0.00150197,0.00150197
102,312.105,0.7966,0.47461,0.96082,0.74793,0.60064,0.70037,0.44861,1.04491,0.59355,1.02411,0.00150032,0.00150032,0.00150032
103,315.037,0.79834,0.4634,0.95631,0.75168,0.6372,0.72822,0.44958,1.1542,0.60683,1.19855,0.00149867,0.00149867,0.00149867
